county,si_crude_rate,year
Columbus,32.4,2023
Craven,55.2,2023
Cumberland,69.2,2023
Currituck,24.2,2023
Dare,26.5,2023
Davidson,53.3,2023
Davie,56.4,2023
Duplin,47.1,2023
Durham,60.4,2023
Edgecombe,92.0,2023
Forsyth,80.9,2023
Franklin,38.5,2023
Gaston,58.1,2023
Gates,17.2,2023
Graham,55.8,2023
Granville,41.9,2023
Greene,28.6,2023
Guilford,56.2,2023
Halifax,77.8,2023
Harnett,50.6,2023
Haywood,55.7,2023
Henderson,54.2,2023
Hertford,43.1,2023
Hoke,55.8,2023
Hyde,41.8,2023
Iredell,49.0,2023
Jackson,42.1,2023
Johnston,39.8,2023
Jones,57.2,2023
Lee,41.1,2023
Lenoir,36.6,2023
Lincoln,49.5,2023
Macon,52.5,2023
Madison,66.1,2023
Martin,35.5,2023
McDowell,94.3,2023
Mecklenburg,50.5,2023
Mitchell,62.2,2023
Montgomery,38.0,2023
Moore,38.0,2023
Nash,66.7,2023
New Hanover,61.3,2023
Northampton,57.4,2023
Onslow,39.0,2023
Orange,45.8,2023
Pamlico,39.4,2023
Pasquotank,59.3,2023
Pender,39.3,2023
Perquimans,68.4,2023
Person,38.2,2023
Pitt,58.4,2023
Polk,38.2,2023
Randolph,32.3,2023
Richmond,60.9,2023
Robeson,72.5,2023
Rockingham,64.5,2023
Rowan,67.9,2023
Rutherford,56.8,2023
Sampson,51.0,2023
Scotland,85.5,2023
Stanly,60.7,2023
Stokes,54.4,2023
Surry,51.2,2023
Swain,106.7,2023
Transylvania,69.6,2023
Tyrrell,15.0,2023
Union,36.2,2023
Vance,84.2,2023
Wake,38.5,2023
Warren,61.4,2023
Washington,20.1,2023
Watauga,35.7,2023
Wayne,42.9,2023
Wilkes,49.1,2023
Wilson,97.0,2023
Yadkin,60.2,2023
Yancey,38.4,2023
Alamance,56.5,2024
Alexander,66.2,2024
Alleghany,55.9,2024
Anson,86.8,2024
Ashe,42.9,2024
Avery,31.9,2024
Beaufort,54.6,2024
Bertie,40.1,2024
Bladen,62.2,2024
Brunswick,32.8,2024
Buncombe,77.4,2024
Burke,79.5,2024
Cabarrus,49.5,2024
Caldwell,74.7,2024
Camden,33.6,2024
Carteret,19.2,2024
Caswell,35.2,2024
Catawba,84.9,2024
Chatham,29.4,2024
Cherokee,29.7,2024
Chowan,58.0,2024
Clay,25.1,2024
Cleveland,72.0,2024
Columbus,15.9,2024
Craven,62.3,2024
Cumberland,72.3,2024
Currituck,22.1,2024
Dare,24.1,2024
Davidson,52.3,2024
Davie,55.8,2024
Duplin,51.8,2024
Durham,61.4,2024
Edgecombe,103.1,2024
Forsyth,83.7,2024
Franklin,42.4,2024
Gaston,61.8,2024
Gates,15.6,2024
Graham,73.7,2024
Granville,43.4,2024
Greene,32.7,2024
Guilford,50.9,2024
Halifax,80.7,2024
Harnett,45.8,2024
Haywood,58.4,2024
Henderson,46.1,2024
Hertford,33.5,2024
Hoke,57.5,2024
Hyde,23.7,2024
Iredell,49.0,2024
Jackson,34.7,2024
Johnston,35.1,2024
Jones,45.4,2024
Lee,34.2,2024
Lenoir,45.8,2024
Lincoln,46.8,2024
Macon,50.4,2024
Madison,60.0,2024
Martin,34.3,2024
McDowell,90.7,2024
Mecklenburg,51.9,2024
Mitchell,47.7,2024
Montgomery,33.4,2024
Moore,39.7,2024
Nash,70.6,2024
New Hanover,56.9,2024
Northampton,42.8,2024
Onslow,37.1,2024
Orange,48.6,2024
Pamlico,65.2,2024
Pasquotank,59.0,2024
Pender,34.3,2024
Perquimans,37.3,2024
Person,46.1,2024
Pitt,56.8,2024
Polk,44.9,2024
Randolph,32.8,2024
Richmond,75.2,2024
Robeson,79.0,2024
Rockingham,49.3,2024
Rowan,57.0,2024
Rutherford,66.7,2024
Sampson,52.9,2024
Scotland,96.5,2024
Stanly,62.9,2024
Stokes,59.9,2024
Surry,46.5,2024
Swain,104.8,2024
Transylvania,69.1,2024
Tyrrell,28.7,2024
Union,36.0,2024
Vance,87.5,2024
Wake,43.7,2024
Warren,62.1,2024
Washington,27.8,2024
Watauga,32.5,2024
Wayne,46.3,2024
Wilkes,54.2,2024
Wilson,98.3,2024
Yadkin,62.8,2024
Yancey,50.1,2024
